"","FAOArea","SpAtRisk","SpTotal"
"1","18",2,3
"2","21",22,60
"3","27",9,25
"4","31",24,41
"5","34",1,2
"6","37",0,6
"7","41",0,5
"8","47",3,11
"9","48",2,2
"10","51",1,7
"11","57",8,18
"12","58",2,2
"13","61",12,41
"14","67",31,60
"15","71",3,12
"16","77",23,50
"17","81",10,22
"18","87",1,5
"19","88",0,0
